Direct GHG Emissions (Metric Tons CO2e),Water Intensity (All Water Sources) (gal/ft²),log_Property Id,log_Year Built,log_Number of Buildings - Self-reported,log_Occupancy,log_Weather Normalized Site Natural Gas Use (therms),log_Direct GHG Emissions (Metric Tons CO2e),log_Property GFA - Self-Reported (ft²),log_Water Intensity (All Water Sources) (gal/ft²),log_Source EUI (kBtu/ft²),log_Community Board,log_Census Tract,Borough_Bronx,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Office,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility,score
66.6,,15.10149164464785,7.582738488914411,0.6931471805599453,4.605170185988092,9.435960853165286,4.198704577546343,12.080231606189658,,2.9391619220655967,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1879.5,,15.101417848652288,7.521859252201629,1.0986122886681098,4.605170185988092,12.014989013627485,7.538761063004233,13.153472433691558,,5.22413246835866,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
809.5,,14.932098315494713,7.521859252201629,0.0,4.605170185988092,10.910278734166901,6.69641677311769,12.12029142068395,,5.3867860145356445,2.0794415416798357,5.765191102784844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
370.0,,14.932104535981166,7.578656850594762,0.0,4.605170185988092,9.229063985974285,5.91350300563827,11.790398098003116,,5.116195789756748,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
651.1,,15.101491368268515,7.554334823725748,1.0986122886681098,4.605170185988092,11.809367060535088,6.478663240242817,12.733743586882944,,3.7887247890836524,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.5,,15.101492473785404,7.554858521040676,1.0986122886681098,4.605170185988092,7.676473646389156,2.4423470353692043,12.02156069156691,,2.2300144001592104,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.8,0.0,15.211254134300853,7.605392364814935,0.6931471805599453,4.605170185988092,,2.760009940032921,11.327739810561624,-inf,3.56953269648137,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
1917.9,,15.21325857482356,7.600902459542082,0.6931471805599453,4.605170185988092,12.79688168290415,7.558986116440791,12.785491060761776,,5.824819469699035,0.6931471805599453,2.3978952727983707,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1373.8,,15.224663411679925,7.594381242551817,1.3862943611198906,4.553876891600541,12.544255917495173,7.225335901779781,13.198670501079325,,5.8738065036397495,2.302585092994046,10.740756721857226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
23.2,,15.438950187253377,7.602900462204755,-inf,4.499809670330265,8.555163122667865,3.1441522786722644,10.819778284410283,,5.318610069815799,2.302585092994046,10.740756721857226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
77.2,85.28,15.410723574595963,7.603897968521881,0.0,4.605170185988092,9.727847623865886,4.3463994570307305,11.031626280462559,4.445939960417534,5.562218910334414,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17250.3,14.0,15.29866571424469,7.585788821732034,0.6931471805599453,4.605170185988092,14.985330020297317,9.755584813612627,14.794738529609026,2.6390573296152584,4.852811208902689,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61.2,73.86,15.306750348605659,7.577121930876679,0.0,4.605170185988092,9.440785203951865,4.11414718951828,9.769956159911606,4.3021714094244174,4.237000862623624,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64.1,31.67,15.306720860933698,7.578145472419466,0.0,4.605170185988092,9.485552517055694,4.160444363926624,9.769956159911606,3.4553698605505483,4.282206299391671,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66.2,59.72,15.306731665677791,7.578145472419466,0.0,4.605170185988092,9.500297354855928,4.192680462942962,9.769956159911606,4.089666972670989,4.314817884980432,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154.1,,15.318651516419013,7.607878073278507,1.0986122886681098,4.382026634673881,10.388684550788296,5.03760174232607,13.19188944005294,,5.736894826106403,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154.1,,15.436902139762907,7.607878073278507,0.0,4.382026634673881,10.388684550788296,5.03760174232607,13.19188944005294,,1.7404661748405046,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.0,,15.398238308924304,7.5652752818989315,0.6931471805599453,4.605170185988092,8.606485298894999,3.367295829986474,12.618357777648006,,5.139907629800395,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.0,,15.187355527618735,7.5652752818989315,0.0,4.605170185988092,8.606485298894999,3.367295829986474,11.458648777318958,,6.299500565440154,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.8,,15.416305628408988,7.552762084214147,0.6931471805599453,4.605170185988092,8.728328936726152,3.490428515390098,11.923053020292636,,5.820972742067605,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
