Direct GHG Emissions (Metric Tons CO2e),Water Intensity (All Water Sources) (gal/ft²),log_Property Id,log_Year Built,log_Number of Buildings - Self-reported,log_Occupancy,log_Weather Normalized Site Natural Gas Use (therms),log_Direct GHG Emissions (Metric Tons CO2e),log_Property GFA - Self-Reported (ft²),log_Water Intensity (All Water Sources) (gal/ft²),log_Source EUI (kBtu/ft²),log_Community Board,log_Census Tract,Borough_Bronx,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Office,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
213.1,,15.56726540686409,7.575584651557793,0.0,4.605170185988092,10.679667581225143,5.361761539104571,11.097410021008562,,4.622027303054514,2.1972245773362196,8.517393171418904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.5,9.54,14.854765900142615,7.5652752818989315,0.0,4.605170185988092,9.198045093882032,3.960813169597578,10.992806794292646,2.255493485460195,4.350277936359301,0.6931471805599453,3.6109179126442243,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.2,57.58,14.846366353371923,7.596392304064196,0.0,4.605170185988092,10.670630734695612,5.348059458442851,11.225243392518447,4.05317528518403,4.919980925828125,2.1972245773362196,5.293304824724492,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189.5,30.33,14.785872721626156,7.562681246721884,0.0,4.605170185988092,10.482404441464212,5.244389024522481,11.067544201945207,3.41213732170049,4.804840381116659,2.0794415416798357,4.955827057601261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591.9,,15.208852029768098,7.568379267836522,0.0,4.605170185988092,8.331032273699561,6.3833377016966795,11.350406535472453,,5.1047326174753715,1.6094379124341003,10.073399089253401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161.0,16.97,15.583553329908332,7.560080465021827,0.0,4.382026634673881,10.428284126493274,5.081404364984463,12.30591798049989,2.831447079246135,4.485259889315534,0.6931471805599453,3.8918202981106265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,,14.785334852949042,7.569927655242652,0.0,4.553876891600541,,,12.889444704886843,,5.43372200355424,1.6094379124341003,4.564348191467836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580.0,88.94,14.819981383612461,7.587817219993427,0.0,4.605170185988092,12.632055158100183,7.365180126021013,12.148231645840324,4.48796198508255,5.603225219664886,2.3978952727983707,5.736572297479192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
268.1,,14.850541378484573,7.564238475170491,0.0,4.605170185988092,10.427822512908902,5.591360045241914,11.072371894189569,,4.81380905109942,2.0794415416798357,5.60947179518496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567.8,,15.298505495475377,7.563200592358071,0.0,4.605170185988092,8.450262477933448,6.341769244038871,11.004713090359044,,5.342334251964811,2.4849066497880004,5.680172609017068,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321.4,71.38,14.844481193303428,7.576097340623111,0.0,4.605170185988092,11.003648641194088,5.772686453303412,11.278720966296595,4.268017718062014,4.769836807543325,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.3,,15.583317782128937,7.564757012905729,0.0,4.605170185988092,8.879917799181516,6.422109953746444,12.110112254384262,,4.515245478460105,1.3862943611198906,5.2832037287379885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728.0,523.77,14.95424955950036,7.554858521040676,0.0,4.605170185988092,11.828188657182775,6.590301048196686,11.89092344841994,6.261052656664792,5.0072963928307415,0.0,3.2188758248682006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.8,,15.604928287458838,7.607878073278507,0.0,4.605170185988092,,4.760463070394127,10.922533408982428,,5.497577977398914,1.6094379124341003,4.553876891600541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263.9,,15.57952997169445,7.605392364814935,0.0,4.605170185988092,10.896220672550678,5.575570243509278,12.066321953091734,,4.639571612705423,1.3862943611198906,4.890349128221754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.9,,15.37912796243189,7.560080465021827,0.0,4.553876891600541,,4.633757642840004,11.789169876040955,,4.799090878625398,0.0,3.4965075614664802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,24.36,14.77387101761569,7.581719640125308,0.0,4.605170185988092,,,13.574799853817897,3.192942442841696,5.466793516519938,1.6094379124341003,4.02535169073515,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.9,,14.980190198512446,7.5822291942764615,0.0,4.605170185988092,8.038350613503297,6.501139509116577,11.658444715240078,,4.829912458665998,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707.7,36.74,15.414048682953913,7.577121930876679,0.6931471805599453,4.605170185988092,11.871936079106433,6.562020275081739,12.282348266634466,3.6038660797869797,4.784152841516532,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
